frame,candidate_source,alpha_deg,segment_angle_deg,x_sup,y_sup,x_deep,y_deep,x_mid,y_mid,peak_weight,peak_weight_norm,score,raw_mask_support,mask_support_score,inside_muscle_score,visible_fraction,hough_score,length_score,phi_score,pennation_score,boundary_score,length_mm,phi_deg,pennation_deep_deg,outside_px,alpha_bin,xmid_bin,length_bin,cluster_id
9,grid_scan,13.1,13.099999999999994,973.2558784716626,101.4983648278021,-173.25584311137092,368.3,400.00001768014585,234.89918241390106,,,0.5549134299987702,0.23850574712643677,0.41954022988505746,1.0,0.696,0.8178294573643411,0.9848389170222869,1.0,1.0,0.4858285507132994,74.60161523113541,13.6,13.1,173.25587847166264,13.0,400.0,75.0,a13.00_x400_l75
3,grid_scan,12.9,12.899999999999977,972.4809342186317,89.5687249458108,-172.48093811279995,351.8,399.9999980529159,220.6843624729054,,,0.5473038363733023,0.17765042979942694,0.4469914040114613,1.0,0.698,0.6951672862453532,0.9811851356593303,1.0,1.0,0.4873997866753174,74.44075440365735,12.456124577025886,12.9,172.48093811279995,13.0,400.0,75.0,a13.00_x400_l75
6,grid_scan,13.0,12.999999999999972,972.848914054898,100.69481330314147,-172.84892074557098,365.2,399.9999966546635,232.94740665157073,,,0.5431178738228538,0.22413793103448276,0.40229885057471265,1.0,0.696,0.7556390977443609,0.9829990791508804,1.0,1.0,0.486653048224433,74.51850472898475,13.5,13.0,172.84892074557098,13.0,400.0,75.0,a13.00_x400_l75
10,grid_scan,13.0,13.0,978.162816247104,101.34118702502587,-178.16284158153238,368.3,399.99998733278585,234.82059351251294,,,0.5418563422600957,0.21739130434782608,0.3855072463768116,1.0,0.69,0.8646616541353384,0.9951331355395042,1.0,1.0,0.4759963117255914,75.20975983703096,13.5,13.0,178.16284158153238,13.0,400.0,75.0,a13.00_x400_l75
5,grid_scan,12.9,12.899999999999977,962.7798192517811,98.91243469314759,-162.7797974510769,356.7,400.0000109003521,227.8062173465738,,,0.536730797750949,0.17464788732394365,0.4112676056338028,1.0,0.71,0.7737226277372263,0.9397334342179681,1.0,1.0,0.5075047305228121,73.17929882070189,13.115254076062154,12.9,162.77981925178108,13.0,400.0,75.0,a13.00_x400_l75
1,grid_scan,12.9,12.899999999999977,960.3092730874865,90.14409568531852,-160.30925225175474,346.8,400.0000104178659,218.47204784265926,,,0.5294783480688493,0.15168539325842698,0.40168539325842695,1.0,0.712,0.7885304659498208,0.9257751745106259,1.0,1.0,0.5127559363966961,72.85804919870701,12.464421903487663,12.9,160.30927308748653,13.0,400.0,75.0,a13.00_x400_l75
8,grid_scan,12.9,12.899999999999977,980.7925829358943,99.96148320691401,-180.7925797673087,366.0,400.0000015842928,232.980741603457,,,0.5291509725450559,0.17732558139534885,0.3866279069767442,1.0,0.688,0.7455197132616488,0.9982130775296609,1.0,1.0,0.4708091687763707,75.52153299187876,13.310881241574577,12.9,180.7925829358943,13.0,400.0,75.0,a13.00_x400_l75
0,grid_scan,12.9,12.899999999999977,959.6913112336628,89.12715867088014,-159.691296208793,345.5,400.0000075124349,217.31357933544007,,,0.5260489919303073,0.20448179271708683,0.36694677871148457,1.0,0.714,0.7757352941176471,0.9220838240006524,1.0,1.0,0.5140779026303607,72.77769485430393,12.410977694795266,12.9,159.69131123366276,13.0,400.0,75.0,a13.00_x400_l75
2,grid_scan,13.0,12.999999999999972,958.1101014276375,89.30026544390418,-158.11008161152247,347.0,400.0000099080575,218.1501327219521,,,0.5251702870440683,0.18156424581005587,0.37988826815642457,1.0,0.716,0.7560975609756098,0.9137047668767961,1.0,1.0,0.5174760219657296,72.60121863010944,12.527376927435844,13.0,158.11010142763746,13.0,400.0,75.0,a13.00_x400_l75
4,grid_scan,13.1,13.099999999999994,965.3658493952474,88.970490412813,-165.36585261023507,352.1,399.9999983925062,220.5352452064065,,,0.5212411937093308,0.11898016997167139,0.38526912181303113,1.0,0.706,0.8351254480286738,0.9550910388241929,1.0,1.0,0.5020656525467533,73.5748355421857,12.6,13.1,165.36585261023507,13.0,400.0,75.0,a13.00_x400_l75
7,grid_scan,13.1,13.099999999999994,982.6517625764709,95.12537930957097,-182.6517447155556,366.3,400.0000089304576,230.7126896547855,,,0.5078114750836726,0.1023391812865497,0.36257309941520466,1.0,0.684,0.7565543071161048,0.9997590332409039,1.0,1.0,0.46717609713305513,75.82436554461027,13.161550240939153,13.1,182.6517625764709,13.0,400.0,75.0,a13.00_x400_l75
